
----------------------Identifiers for file birthDateToCurrentAge.py-----------------------------------

identifier = StringVar, Row = 45, Col = [27, 36]
identifier = medical_tax, Row = 47, Col = [13, 24]
identifier = StringVar, Row = 47, Col = [27, 36]
identifier = grocery_tax, Row = 48, Col = [13, 24]
identifier = StringVar, Row = 48, Col = [27, 36]
identifier = cold_drinks_tax, Row = 49, Col = [13, 28]
identifier = StringVar, Row = 49, Col = [31, 40]
identifier = F1, Row = 51, Col = [8, 10]
identifier = LabelFrame, Row = 51, Col = [13, 23]
identifier = root, Row = 51, Col = [29, 33]
identifier = text, Row = 51, Col = [35, 39]
identifier = font, Row = 51, Col = [60, 64]
identifier = bd, Row = 51, Col = [98, 100]
identifier = fg, Row = 51, Col = [105, 107]
identifier = bg, Row = 51, Col = [117, 119]
identifier = place, Row = 52, Col = [11, 16]
identifier = x, Row = 52, Col = [17, 18]
identifier = y, Row = 52, Col = [22, 23]
identifier = relwidth, Row = 52, Col = [28, 36]
identifier = cname_lbl, Row = 53, Col = [8, 17]
identifier = Label, Row = 53, Col = [20, 25]
identifier = F1, Row = 53, Col = [26, 28]
identifier = text, Row = 53, Col = [30, 34]
identifier = bg_color, Row = 53, Col = [56, 64]
identifier = font, Row = 53, Col = [66, 70]
identifier = grid, Row = 54, Col = [18, 22]
identifier = row, Row = 54, Col = [23, 26]
identifier = column, Row = 54, Col = [30, 36]
identifier = padx, Row = 54, Col = [40, 44]
identifier = pady, Row = 54, Col = [49, 53]
identifier = cname_txt, Row = 55, Col = [8, 17]
identifier = Entry, Row = 55, Col = [20, 25]
identifier = F1, Row = 55, Col = [26, 28]
identifier = width, Row = 55, Col = [30, 35]
identifier = textvariable, Row = 55, Col = [40, 52]
identifier = c_name, Row = 55, Col = [58, 64]
identifier = font, Row = 55, Col = [66, 70]
identifier = bd, Row = 55, Col = [83, 85]
identifier = GROOVE, Row = 55, Col = [96, 102]
identifier = grid, Row = 56, Col = [18, 22]
identifier = row, Row = 56, Col = [23, 26]
identifier = column, Row = 56, Col = [30, 36]
identifier = pady, Row = 56, Col = [40, 44]
identifier = padx, Row = 56, Col = [48, 52]
identifier = cphn_lbl, Row = 58, Col = [8, 16]
identifier = Label, Row = 58, Col = [19, 24]
identifier = F1, Row = 58, Col = [25, 27]
identifier = text, Row = 58, Col = [29, 33]
identifier = bg, Row = 58, Col = [53, 55]
identifier = font, Row = 58, Col = [67, 71]
identifier = grid, Row = 59, Col = [17, 21]
identifier = row, Row = 59, Col = [22, 25]
identifier = column, Row = 59, Col = [29, 35]
identifier = padx, Row = 59, Col = [39, 43]
identifier = pady, Row = 59, Col = [48, 52]
identifier = cphn_txt, Row = 60, Col = [8, 16]
identifier = Entry, Row = 60, Col = [19, 24]
identifier = F1, Row = 60, Col = [25, 27]
identifier = width, Row = 60, Col = [29, 34]
identifier = textvariable, Row = 60, Col = [39, 51]
identifier = c_phone, Row = 60, Col = [57, 64]
identifier = font, Row = 60, Col = [66, 70]
identifier = bd, Row = 60, Col = [83, 85]
identifier = GROOVE, Row = 60, Col = [96, 102]
identifier = grid, Row = 61, Col = [17, 21]
identifier = row, Row = 61, Col = [22, 25]
identifier = column, Row = 61, Col = [29, 35]
identifier = pady, Row = 61, Col = [39, 43]
identifier = padx, Row = 61, Col = [47, 51]
identifier = c_bill_lbl, Row = 63, Col = [8, 18]
identifier = Label, Row = 63, Col = [21, 26]
identifier = F1, Row = 63, Col = [27, 29]
identifier = text, Row = 63, Col = [31, 35]
identifier = bg, Row = 63, Col = [52, 54]
identifier = font, Row = 63, Col = [66, 70]
identifier = grid, Row = 64, Col = [19, 23]
identifier = row, Row = 64, Col = [24, 27]
identifier = column, Row = 64, Col = [31, 37]
identifier = padx, Row = 64, Col = [41, 45]
identifier = pady, Row = 64, Col = [50, 54]
identifier = c_bill_txt, Row = 65, Col = [8, 18]
identifier = Entry, Row = 65, Col = [21, 26]
identifier = F1, Row = 65, Col = [27, 29]
identifier = width, Row = 65, Col = [31, 36]
identifier = textvariable, Row = 65, Col = [41, 53]
identifier = search_bill, Row = 65, Col = [59, 70]
identifier = font, Row = 65, Col = [72, 76]
identifier = bd, Row = 65, Col = [89, 91]
identifier = GROOVE, Row = 65, Col = [102, 108]
identifier = grid, Row = 66, Col = [19, 23]
identifier = row, Row = 66, Col = [24, 27]
identifier = column, Row = 66, Col = [31, 37]
